[2] Scale-sensitive fractal analysis: b10s4_bottom_e
2019/06/06	11:25:34

Scale of analysis	Relative area	Fractal complexity	R2				
8827.79	1.14445	90.198	0.987677	
9444.42	1.1458	89.1109	0.988102	
10104.1	1.14255	88.322	0.988091	
10809.9	1.12573	86.734	0.987853	
11565	1.11707	85.4902	0.98599	
12372.8	1.11061	84.2329	0.985069	
13237.1	1.1212	82.2443	0.98452	
14161.7	1.09709	80.8973	0.982452	
15150.9	1.08739	78.5633	0.981273	
16209.2	1.08557	76.1704	0.9787	
17341.4	1.07787	74.2353	0.974916	
18552.7	1.0752	72.4587	0.968952	
19848.7	1.06976	70.2892	0.961784	
21235.1	1.08072	67.9996	0.95548	
22718.4	1.07661	65.5469	0.948192	
24305.3	1.0541	62.1486	0.940357	
26003	1.04324	59.5982	0.929231	
27819.4	1.04819	56.4327	0.919273	
29762.6	1.03774	53.8117	0.907487	
31841.5	1.03247	50.7053	0.899117	
34065.7	1.03406	47.3384	0.894081	
36445.2	1.03358	44.5326	0.882008	
38990.9	1.0257	41.7505	0.865388	
41714.5	1.02491	38.9198	0.84519	
44628.3	1.02193	35.2556	0.849043	
47745.6	1.02118	32.8666	0.83654	
51080.7	1.021	30.913	0.822542	
54648.7	1.01804	28.8602	0.8117	
58466	1.01858	27.0676	0.798649	
62549.8	1.01804	25.1751	0.78612	
66919	1.01435	23.37	0.77137	
71593.4	1.01366	20.4992	0.795207	
76594.2	1.01658	17.5456	0.866452	
81944.4	1.01437	15.9519	0.880304	
87668.3	1.01397	14.9595	0.873691	
93792	1.01173	13.3395	0.898409	
100343	1.0101	12.3245	0.89403	
107353	1.00939	11.694	0.887707	
114851	1.00985	10.8242	0.893896	
122874	1.01131	9.78623	0.912349	
131456	1.0123	9.20402	0.900727	
140639	1.00858	8.68072	0.897179	
150463	1.00729	8.23451	0.883355	
160973	1.00547	7.77707	0.869553	
172217	1.00404	7.27199	0.858839	
184246	1.0033	6.96784	0.84744	
197116	1.00312	6.58552	0.840499	
210885	1.00317	6.16062	0.834019	
225615	1.00371	5.97523	0.823949	
241374	1.00457	5.77334	0.810916	
258235	1.00359	5.27012	0.804519	
276273	1.00313	4.90921	0.795919	
295570	1.00472	4.51675	0.790459	
316216	1.00426	4.23867	0.776293	
338304	1.00226	4.13892	0.756008	
361935	1.00228	4.05613	0.733843	
387217	1.00332	3.8911	0.708285	
414264	1.00321	3.52908	0.696859	
443201	1.00189	2.96498	0.772835	
474159	1.00255	2.65655	0.789831	
507279	1.00235	2.40745	0.798118	
542713	1.00211	2.30638	0.775892	
580622	1.00124	2.35385	0.765235	
621179	1.00081	2.49934	0.783928	
664569	1.00094	2.68612	0.814433	
710990	1.00039	2.88523	0.844074	
760653	1.00053	3.00234	0.845454	
813785	1.00099	2.93314	0.822379	
870629	1.00037	3.02315	0.813724	
931443	1.00042	3.20845	0.823885	
996505	1.00034	2.94181	0.803621	
